Ticker,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield,Last,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High
AFL,Aflac Incorporated,37789148000,12.08,4.30,2920000000,0.71,1.08,0.0212,51.04,12.30,0.1203,-0.0103,-0.0990,0.0830,-0.16,0.4589,0.1540,3435260,41.45,57.18
AGCO,Agco Corp,5345949000,14.69,4.90,285500000,0.97,0.64,0.0091,70.12,20.20,0.2596,-0.0257,-0.0897,0.1561,0.16,0.4260,0.2259,496930,49.50,80.64
AGIO,Agios Pharmaceuticals,1864820000,0.00,-6.67,-346030000,2.31,0.00,0.0000,31.74,-55.70,-0.3116,-0.0749,-0.2765,-0.5339,-1.00,0.3505,0.5107,637030,31.46,74.25
AGN,Allergan Plc,54814316000,10.05,16.71,-5096400000,1.65,2.96,0.0177,167.10,-6.40,0.2502,0.0235,0.0130,-0.1188,1.00,0.5836,0.0908,2651630,114.27,193.44
AGNC,American Capital Age,8710306000,7.45,2.15,129000000,0.26,1.92,0.1208,15.90,-12.20,-0.0935,0.0558,-0.0658,-0.1288,-1.00,0.4788,0.1439,4877740,14.51,18.35
AGO,Assured Guaranty Ltd,4333325000,9.72,4.54,521000000,1.02,0.72,0.0164,43.90,8.60,0.1468,0.0071,-0.0034,0.0398,0.40,0.4756,0.1138,560360,36.13,47.97
AGR,Avangrid Inc,15660374000,24.87,2.05,595000000,0.13,1.76,0.0347,50.68,7.30,0.0118,0.0094,-0.0076,0.0665,0.88,0.4824,0.1062,392020,45.81,53.47
AIG,American International Group,45600576000,26.29,2.04,-6000000,1.19,1.28,0.0244,52.42,9.70,0.3301,-0.0443,-0.0462,-0.0302,0.40,0.3975,0.2074,3662885,36.16,58.66
AIV,Apartment Investment and Management,7934029000,21.27,6.03,666230000,0.54,1.56,0.0293,53.29,24.80,0.2144,0.0288,0.0374,0.2070,1.00,0.6289,0.1152,1062345,41.73,53.64
AIZ,Assurant Inc,7538675000,19.65,6.38,251000000,0.48,2.40,0.0195,123.32,27.60,0.3788,-0.0088,0.1162,0.1372,0.72,0.5081,0.1692,453865,82.31,127.76
AJG,Arthur J. Gallagher & Company,16143434000,24.67,3.59,633500000,0.81,1.72,0.0198,86.76,18.30,0.1772,-0.0413,-0.0399,0.1494,0.08,0.4444,0.1871,830845,68.19,92.74
AKAM,Akamai Technologies,14546462000,28.11,3.21,298370000,0.62,0.00,0.0000,88.17,39.50,0.4435,-0.0398,0.0860,0.3486,0.64,0.4786,0.1958,1766360,57.18,93.12
AL,Air Lease Corp Cl A,4366532000,8.08,4.89,510840000,1.89,0.52,0.0133,39.10,-2.90,0.2943,-0.0664,-0.0417,-0.1301,0.40,0.3998,0.2205,571575,28.13,45.43
ALB,Albemarle Corp,6751309000,11.69,5.62,693560000,1.64,1.47,0.0231,63.70,-32.90,-0.1735,0.0074,-0.0925,-0.3770,-0.88,0.4271,0.2187,1301810,58.63,108.74
ALGN,Align Technology,14720226000,40.20,4.59,400240000,2.00,0.00,0.0000,184.30,-30.60,-0.1200,0.0528,-0.3230,-0.4625,-0.72,0.4713,0.2938,1152235,169.84,346.77
ALK,Alaska Air Group,7788325000,12.79,5.00,437000000,0.85,1.40,0.0222,63.18,2.90,0.0383,0.0014,-0.0232,-0.0326,0.80,0.4924,0.1841,777715,53.39,74.83
ALKS,Alkermes Plc,2837786000,0.00,-0.30,-139310000,1.81,0.00,0.0000,18.06,-57.60,-0.3880,-0.1086,-0.1930,-0.5933,-1.00,0.3547,0.3920,1224660,17.66,44.43
ALL,Allstate Corp,34861432000,14.05,7.65,2252000000,0.83,2.00,0.0189,105.90,16.50,0.2816,0.0056,0.0146,0.0580,0.88,0.5019,0.1547,1736045,77.00,109.55
ALLE,Allegion Plc,9555165000,22.35,4.59,434900000,1.18,1.08,0.0106,102.33,20.60,0.2838,0.0342,-0.0696,0.1580,0.40,0.5427,0.1669,582005,74.83,111.99
ALLY,Ally Financial,11759300000,8.73,3.60,1263000000,1.30,0.68,0.0226,30.12,13.70,0.3292,-0.0752,-0.0377,0.1218,0.24,0.3531,0.2068,3847770,20.60,35.42
ALNY,Alnylam Pharmaceuticals,8395092000,0.00,-8.27,-761500000,2.40,0.00,0.0000,75.49,-6.70,0.0354,-0.0542,0.0647,-0.0931,-0.08,0.4187,0.4105,707550,60.27,96.08
ALSN,Allison Transmission Holdings,5138419000,8.46,5.19,639000000,1.38,0.60,0.0141,42.64,-13.60,-0.0289,-0.0518,-0.0655,-0.1878,-0.56,0.3952,0.2476,1097130,40.35,52.72
ALXN,Alexion Pharm Inc,21480948000,11.51,8.46,77600000,1.67,0.00,0.0000,95.80,-27.30,-0.0160,-0.0774,-0.2354,-0.2600,-1.00,0.3774,0.2576,1902195,92.56,141.86
AM,Antero Midstream Corp,3436762000,13.43,0.53,66610000,1.31,1.23,0.1814,6.78,-63.60,-0.3936,0.0150,-0.4274,-0.6040,-1.00,0.3889,0.5161,8565425,6.55,18.82
AMAT,Applied Materials,45550312000,15.73,3.22,3313000000,1.65,0.84,0.0170,49.31,46.10,0.5061,-0.0158,0.1349,0.3476,0.88,0.4924,0.2857,6742115,28.79,52.62
AMCX,Amc Networks Cl A,2611048000,5.23,9.31,446190000,0.85,0.00,0.0000,46.92,-23.10,-0.1450,-0.0368,-0.1603,-0.2729,-1.00,0.4071,0.3081,428070,46.31,68.42
AMD,Adv Micro Devices,30644964000,131.50,0.22,337000000,2.99,0.00,0.0000,28.23,16.10,0.5293,-0.0762,-0.1189,0.0669,-0.24,0.4077,0.2427,49100496,16.03,35.55
AME,Amtek Inc,19633190000,23.59,3.73,777930000,1.21,0.56,0.0065,85.98,16.20,0.2700,-0.0369,-0.0510,0.1034,0.08,0.4452,0.2187,1241765,63.14,92.86
AMG,Affiliated Managers Group,3635952000,5.51,13.57,243600000,1.65,1.28,0.0178,71.80,-44.00,-0.2631,-0.0869,-0.1979,-0.4624,-0.88,0.3201,0.2812,508435,71.73,133.02
AMGN,Amgen Inc,117589000000,13.47,14.64,8394000000,1.11,5.80,0.0296,196.08,2.30,0.0072,-0.0561,0.0759,-0.0462,0.40,0.5074,0.1485,2465640,166.30,211.90
AMH,American Homes 4 Rent,7830300000,23.58,0.24,108270000,0.60,0.20,0.0077,26.06,28.90,0.3128,0.0321,0.0329,0.2362,1.00,0.6073,0.1035,1948000,18.91,26.19
AMP,Ameriprise Financial Services,16909712000,8.78,15.35,2098000000,1.85,3.88,0.0300,129.21,-6.00,0.2380,-0.0411,-0.1325,-0.1444,-0.24,0.3786,0.2663,1120935,95.69,153.91
AMT,American Tower Corp,100091000000,27.81,3.30,1236400000,0.44,3.80,0.0168,226.10,53.20,0.4293,-0.0279,0.0821,0.5509,0.72,0.5427,0.2072,1787005,140.40,242.00
AMTD,TD Ameritrade HD,18331638000,8.49,4.00,1473000000,1.21,1.20,0.0359,33.42,-35.30,-0.3174,-0.2810,-0.3351,-0.3698,-1.00,0.2620,1.0666,6957485,32.69,57.88
AMZN,Amazon.com Inc,843641000000,71.89,24.10,10073000000,1.54,0.00,0.0000,1705.51,-5.00,0.1355,-0.0698,-0.1264,-0.0852,-0.72,0.3814,0.1701,3106560,1307.00,2035.80
AN,Autonation Inc,4195432000,10.38,4.59,396000000,1.06,0.00,0.0000,47.10,27.80,0.3193,-0.0336,0.1352,0.1807,0.56,0.4252,0.1684,557540,32.83,52.56
ANAT,Amer Natl Insurance,3098995000,13.23,8.92,159000000,0.70,3.28,0.0285,115.26,-7.20,-0.0942,-0.0273,-0.0477,-0.0909,-0.56,0.4137,0.2082,42680,111.01,155.24
ANET,Arista Networks Inc,17559138000,28.90,7.99,328120000,1.58,0.00,0.0000,229.10,-3.60,0.0873,-0.0280,-0.1451,-0.0580,-0.88,0.4379,0.2630,607585,187.08,331.27
ANSS,Ansys Inc,18218798000,41.63,5.36,419380000,1.39,0.00,0.0000,216.63,37.90,0.5155,-0.0044,0.0418,0.2874,0.88,0.5175,0.2401,444360,136.80,224.99
ANTM,Anthem Inc,60250020000,14.25,16.92,3750000000,0.73,3.20,0.0136,235.52,-18.70,-0.1032,-0.0556,-0.1729,-0.1509,-1.00,0.3422,0.2096,1613320,227.16,317.99
AON,AON Plc,43798220000,22.01,8.65,1134000000,0.85,1.76,0.0095,185.71,21.30,0.2776,-0.0490,-0.0548,0.1888,0.40,0.4255,0.1871,730090,135.30,198.61
AOS,Smith [A.O.] Corp,7437547000,18.12,2.49,444200000,1.53,0.88,0.0195,45.24,-6.80,0.0595,-0.0538,0.0007,-0.1261,-0.56,0.4314,0.2475,1365000,40.34,56.66
APA,Apache Corp,7613170000,18.61,1.15,40000000,1.86,1.00,0.0494,20.25,-55.40,-0.2286,-0.0940,-0.2358,-0.5781,-0.88,0.3644,0.7604,6176640,19.44,50.03
APD,Air Products and Chemicals,45780952000,26.91,7.95,1497800000,0.85,4.64,0.0223,207.76,25.60,0.2981,-0.0790,-0.0900,0.2273,-0.08,0.3774,0.2554,898225,148.44,232.47
APH,Amphenol Corp,27716204000,24.64,3.87,1205000000,1.03,1.00,0.0107,93.18,7.90,0.1501,0.0432,-0.0449,0.0434,0.24,0.5087,0.2104,1376280,74.95,105.51
APLE,Apple Hospitality REIT Inc,3597575000,9.56,0.87,206090000,0.80,1.20,0.0747,16.07,-0.90,0.1269,-0.0031,0.0132,-0.0695,0.40,0.4899,0.0981,1255350,13.81,17.28
APTV,Aptiv Plc,20638906000,16.94,4.96,1067000000,2.05,0.88,0.0109,80.56,8.00,0.3084,-0.0923,0.0494,0.0108,0.24,0.4061,0.2428,1096275,58.80,91.57
APY,Apergy Corp,1861364000,17.61,1.40,94040000,2.29,0.00,0.0000,24.03,-46.10,-0.1126,-0.1494,-0.2495,-0.4690,-1.00,0.3561,0.5643,699315,23.80,45.90
AR,Antero Resources Corp,760686000,3.30,0.81,-397520000,0.79,0.00,0.0000,2.46,-87.30,-0.7380,-0.3031,-0.5358,-0.8697,-1.00,0.3429,0.9666,11624220,2.45,19.97
ARD,Ardagh Group S.A.,298719000,9.63,1.68,-94000000,1.20,0.00,0.0000,16.03,6.40,0.4468,-0.0766,-0.0994,-0.0554,0.08,0.4521,0.2813,70690,10.09,20.00
ARE,Alexandria Real Estate Equities,17364296000,22.77,3.47,379310000,0.73,4.00,0.0261,153.10,26.60,0.3285,-0.0001,0.0505,0.2214,0.88,0.5392,0.1238,598710,109.04,155.99
ARMK,Aramark Holdings Corp,10538076000,20.06,2.19,567890000,0.90,0.44,0.0103,42.68,20.50,0.4732,0.0162,0.1839,0.0265,0.88,0.5738,0.1982,2226095,25.49,44.16
ARNC,Arconic Inc,10947476000,14.91,1.66,642000000,1.48,0.08,0.0032,24.87,20.20,0.4751,-0.0431,-0.0368,0.0628,0.56,0.4186,0.2013,3419450,15.63,27.41
ARW,Arrow Electronics,5929544000,8.88,8.19,716190000,1.36,0.00,0.0000,71.32,1.50,0.0344,-0.0203,0.0419,-0.0074,-0.16,0.4660,0.1973,783040,62.35,86.62
ASB,Associated Banc-Corp,3074667000,9.76,2.00,333560000,1.20,0.68,0.0359,18.96,-23.50,-0.0419,-0.0146,-0.1086,-0.2853,-0.88,0.3969,0.2126,926320,18.52,26.86
ASH,Ashland Global Holdings Inc,4597856000,27.88,2.71,114000000,1.27,1.10,0.0145,75.97,0.60,0.0706,0.0270,-0.0129,-0.0776,-0.24,0.5097,0.1634,423345,64.93,84.81
ATH,Athene Holding Ltd,7021569000,5.95,6.63,1053000000,1.00,0.00,0.0000,37.43,-23.50,-0.0603,-0.0555,-0.1452,-0.2803,-0.72,0.3585,0.2769,1711785,36.00,52.29
ATO,Atmos Energy Corp,13148678000,26.27,4.29,603060000,0.19,2.10,0.0189,111.24,19.90,0.1997,0.0197,0.0415,0.1474,0.88,0.5050,0.1156,697910,87.88,115.19
ATR,Aptargroup,7350626000,28.22,4.13,194750000,0.72,1.44,0.0125,114.78,11.40,0.2202,-0.0505,-0.0743,0.0660,-0.24,0.3936,0.1413,224755,88.26,126.19
ATUS,Altice USA Inc Cl A,18784200000,47.11,0.62,18830000,0.90,0.00,0.0000,29.00,65.50,0.7554,-0.0051,0.1871,0.6013,0.88,0.5568,0.1508,5454440,14.49,30.34
ATVI,Activision Blizzard,41519120000,24.09,2.30,1813000000,0.85,0.37,0.0068,54.13,-15.50,0.1623,-0.0082,0.1648,-0.3027,0.88,0.5484,0.2545,7907950,39.85,80.25
AVB,Avalonbay Communities,30407514000,23.93,6.62,974530000,0.49,6.08,0.0279,217.73,24.90,0.2510,0.0092,0.0363,0.2141,1.00,0.5962,0.1147,727575,167.01,219.52
AVGO,Broadcom Ltd,107232000000,15.27,18.08,12259000000,0.89,10.60,0.0392,270.33,10.00,0.0631,-0.0739,-0.0168,0.1200,-0.40,0.4301,0.2394,2646260,208.23,323.20
AVLR,Avalara Inc,5304138000,0.00,-0.73,-75550000,0.51,0.00,0.0000,70.26,81.80,1.2555,-0.1337,-0.1207,1.1074,-0.08,0.4148,0.4588,1332025,28.09,94.31
AVT,Avnet Inc,3996675000,9.74,4.11,176340000,1.37,0.84,0.0214,39.21,-7.80,0.0861,-0.1052,-0.1070,-0.0635,-0.40,0.3609,0.3732,894935,33.55,49.03
AVTR,Avantor Inc,8039264000,0.00,0.14,-35680000,NaN,0.00,0.0000,14.13,NaN,-0.0255,-0.1708,-0.2551,-0.0255,NaN,0.4013,0.4880,4091585,13.33,19.58
AVY,Avery Dennison Corp,9168618000,18.02,6.17,467400000,1.30,2.32,0.0213,108.90,9.10,0.2123,-0.0463,-0.0748,0.0186,0.08,0.4194,0.2192,479270,82.89,120.65
AWI,Armstrong World Industries Inc,4638631000,22.36,4.28,185900000,1.57,0.70,0.0073,95.30,47.70,0.6372,-0.0006,-0.0328,0.3760,0.56,0.4899,0.1774,316400,54.34,104.50
AWK,American Water Works,22379292000,36.21,3.44,567000000,0.09,2.00,0.0161,123.88,39.50,0.3648,-0.0145,0.0497,0.3775,1.00,0.5277,0.1128,1104925,85.89,129.89
AXP,American Express Company,93371512000,14.76,7.70,6921000000,1.06,1.72,0.0153,112.54,5.60,0.1807,-0.0636,-0.0986,0.0519,-0.40,0.3694,0.1747,3561465,89.05,129.34
AXS,Axis Capital Holdings,5281105000,31.70,2.05,43020000,0.32,1.60,0.0254,62.91,16.20,0.2182,-0.0206,0.0371,0.0914,0.64,0.4189,0.1562,453850,48.27,67.51
AXTA,Axalta Coating Systems Ltd,6606008000,19.63,1.52,207100000,1.46,0.00,0.0000,28.32,10.60,0.2092,-0.0678,-0.0576,-0.0098,0.48,0.3976,0.2463,2564635,21.58,32.20
AYI,Acuity Brands Inc,4673369000,13.27,9.00,330400000,1.57,0.52,0.0044,117.13,-9.50,0.0190,-0.0692,-0.1091,-0.0924,-0.56,0.3953,0.5364,618565,103.48,147.44
AYX,Alteryx Inc,6763451000,0.00,-0.11,28020000,1.06,0.00,0.0000,107.70,111.50,0.8110,-0.2419,-0.0776,1.0680,0.08,0.4089,0.4799,1808625,42.23,147.79
AZO,Autozone,25743174000,16.70,63.54,1617220000,0.63,0.00,0.0000,1049.50,27.90,0.2519,-0.0821,-0.0828,0.3311,0.08,0.3803,0.2369,264605,705.01,1186.60
AZPN,Aspen Technology,8223302000,32.20,3.78,262730000,1.55,0.00,0.0000,120.28,19.20,0.4636,-0.0940,-0.0568,0.1379,-0.08,0.4296,0.3324,489235,74.84,142.15
BA,Boeing Company,210510000000,24.87,15.14,10460000000,1.25,8.22,0.0220,374.10,5.00,0.1600,0.0306,0.0654,-0.0303,0.40,0.5304,0.2133,3719055,292.47,446.01
BAC,Bank of America Corp,257188000000,10.11,2.80,28147000000,1.60,0.72,0.0261,27.63,-3.50,0.1213,-0.0036,-0.0538,-0.0872,-0.40,0.4295,0.1944,57443988,22.66,31.17
BAH,Booz Allen Hamilton Holding Corp,9770390000,24.53,2.87,418530000,0.92,0.92,0.0132,69.68,43.80,0.5460,-0.0901,0.0380,0.4148,0.40,0.4623,0.2562,1107895,43.24,78.01
BAX,Baxter International Inc,43402368000,26.56,3.23,1624000000,0.99,0.88,0.0104,85.01,21.00,0.2916,-0.0531,0.0420,0.1593,0.56,0.4678,0.1825,2627495,61.05,89.93
BBT,BB&T Corp,39059040000,12.14,4.25,3237000000,1.17,1.80,0.0353,50.98,8.80,0.1768,0.0464,0.0322,0.0249,0.88,0.5106,0.1780,4765245,40.68,53.90
BBY,Best Buy Company,17206044000,11.62,5.75,1464000000,1.14,2.00,0.0306,65.28,-7.90,0.2326,-0.0161,-0.0933,-0.0855,-0.56,0.4462,0.2515,2071805,47.72,78.53
BC,Brunswick Corp,4337634000,10.89,4.70,265300000,1.72,0.84,0.0166,50.60,-8.70,0.0893,0.0230,0.1358,-0.1943,0.72,0.5175,0.2042,749130,41.02,62.80
BDN,Brandywine Realty Trust,2593591000,10.56,0.50,136320000,0.93,0.76,0.0516,14.72,0.70,0.1437,0.0131,0.0007,-0.0354,-0.48,0.4960,0.1480,992450,12.32,16.18
BDX,Becton Dickinson and Company,65998356000,22.09,11.30,311000000,1.12,3.08,0.0126,244.48,0.80,0.0850,-0.0686,-0.0259,-0.0235,0.24,0.4275,0.1586,1005920,208.62,264.74
BEN,Franklin Resources,13236369000,10.05,2.70,764400000,1.24,1.04,0.0396,26.28,-17.10,-0.1140,-0.0238,-0.2483,-0.1506,-0.88,0.3422,0.2596,3132520,25.57,35.82
BERY,Berry Global Group,4956393000,11.25,3.41,496000000,1.25,0.00,0.0000,37.52,-23.90,-0.2106,-0.0322,-0.3092,-0.2026,-1.00,0.3759,0.2527,1018155,36.98,59.16
BF.A,Brown Forman Inc Cl A,28130470000,34.91,1.71,835000000,0.70,0.66,0.0113,58.94,27.10,0.2429,-0.0259,0.0495,0.1852,0.80,0.4901,0.1534,52360,44.42,64.10
BFAM,Bright Horizons Family Solutions Inc,8794647000,47.61,3.22,157980000,0.28,0.00,0.0000,151.09,32.30,0.3557,-0.0862,-0.0074,0.3161,0.24,0.4416,0.2245,305005,105.15,168.28
BF.B,Brown Forman Inc Cl B,29390472000,36.53,1.71,835000000,0.65,0.66,0.0108,61.58,34.20,0.2942,-0.0116,0.0915,0.2380,0.88,0.5176,0.1376,2087205,44.57,65.83
BG,Bunge Ltd,7703532000,12.42,4.48,267000000,0.89,2.00,0.0368,54.42,-14.20,0.0183,-0.0247,-0.0448,-0.2310,0.48,0.4367,0.1730,918155,47.26,70.89
BGCP,Bgc Partners Cl A,1837689000,5.99,0.91,197520000,1.44,0.56,0.1052,5.32,-26.90,0.0300,0.0028,-0.0211,-0.5386,0.24,0.4749,0.2233,1780780,4.46,11.61
BHF,Brighthouse Financial Inc,3917176000,4.43,8.33,865000000,2.10,0.00,0.0000,35.16,-16.80,0.1535,-0.0362,-0.0508,-0.2409,-0.56,0.3997,0.3319,1143280,28.52,46.45
BHGE,Baker Hughes A Ge Co. Cl A,22190622000,27.38,0.80,195000000,0.95,0.72,0.0337,21.38,-28.60,-0.0056,-0.0914,-0.1513,-0.3296,-0.88,0.4082,0.4197,12752750,20.09,32.99
BIIB,Biogen Inc,40936168000,7.44,30.52,4430700000,1.02,0.00,0.0000,221.94,-17.70,-0.2625,-0.0117,-0.0386,-0.3530,-0.72,0.4254,0.2298,1702670,215.77,346.72
BIO,Bio-Rad Laboratories,9527631000,54.08,6.26,365610000,1.16,0.00,0.0000,319.73,15.20,0.3768,-0.0473,0.0337,0.0971,0.56,0.4276,0.2765,225665,220.05,348.39
BK,Bank of New York Mellon Corp,39902884000,10.56,4.00,4266000000,1.12,1.24,0.0293,42.33,-16.30,-0.1007,-0.0163,-0.0163,-0.1980,-0.72,0.4088,0.2567,5837430,40.52,54.27
BKI,Black Knight Inc,9026670000,37.43,1.64,168500000,0.69,0.00,0.0000,60.35,25.40,0.3393,-0.0585,-0.0145,0.2070,0.24,0.4412,0.1352,684985,42.30,64.48
BKNG,Booking Holdings Inc,82396336000,20.54,95.03,3998000000,1.12,0.00,0.0000,1938.19,8.70,0.1253,-0.0150,0.0333,0.0196,0.56,0.4629,0.1654,302920,1606.27,2081.81
BKU,BankUnited Inc,3060239000,11.20,2.95,324870000,1.15,0.84,0.0261,32.19,-5.60,0.0752,0.0135,-0.0339,-0.0920,-0.64,0.4609,0.2432,657315,28.05,37.32
BLK,Blackrock,63863376000,15.90,26.62,4305000000,1.54,13.20,0.0319,413.16,-5.50,0.0518,-0.0252,-0.1255,-0.1237,-0.72,0.3909,0.2163,618420,360.79,487.45
BLL,Ball Corp,23708334000,32.34,2.24,454000000,0.73,0.60,0.0084,71.41,55.00,0.5531,-0.0880,0.0115,0.5407,0.40,0.4273,0.2281,2511875,42.24,81.88
BLUE,Bluebird Bio,4902913000,0.00,-11.99,-555630000,2.23,0.00,0.0000,88.71,-37.40,-0.1057,-0.1078,-0.3065,-0.3348,-1.00,0.3242,0.4313,835805,84.01,163.43
BMRN,Biomarin Pharmaceuticals,11634586000,0.00,-0.53,-77210000,1.31,0.00,0.0000,64.83,-38.20,-0.2386,-0.1012,-0.1936,-0.3602,-1.00,0.3181,0.2571,1480885,62.88,106.74
BMY,Bristol-Myers Squibb Company,82377176000,11.81,4.31,4920000000,0.72,1.64,0.0326,50.36,-6.30,-0.0312,0.0433,0.1003,-0.1994,0.88,0.5818,0.1645,9791465,42.48,63.69
BOH,Bank of Hawaii Corp,3317112000,15.29,5.49,219600000,0.92,2.60,0.0318,81.65,5.60,0.2129,-0.0085,0.0055,0.0025,0.40,0.4375,0.2007,204345,63.64,88.20
BOKF,Bok Financial Corp,5173668000,10.62,7.04,445650000,1.27,2.00,0.0275,72.67,-20.30,-0.0090,-0.0501,-0.0371,-0.2467,-0.56,0.3695,0.2091,142700,69.96,97.58
BPOP,Popular Inc,5095230000,8.79,6.16,618160000,1.20,1.20,0.0228,52.72,4.00,0.1165,-0.0047,-0.0557,0.0152,-0.40,0.4547,0.1695,580610,44.22,58.99
BPR,Brookfield Property REIT Inc,1386813000,0.00,0.33,4090540000,1.20,1.32,0.0700,18.86,-3.20,0.1714,-0.0273,-0.0248,-0.0728,-0.24,0.4173,0.2088,1032075,14.93,21.19
